N	Z	P1n	P2n	P3n
60	36	0.74	0	0
61	36	4.04	0.04	0
62	36	1.61	0	0
63	36	32.83	1.46	0
64	36	29.05	0.39	0
65	36	20.96	2.55	0
66	36	42.36	1.77	0.01
67	36	48.55	8.61	0.13
68	36	55.56	3.76	0.29
69	36	53.74	14.24	1.39
70	36	67.48	6.01	3.06
71	36	35	41.12	6.54
72	36	66.32	13.25	11.44
73	36	13.42	65.9	18.09
74	36	39.06	19.61	40.3
75	36	0.17	31.2	67.34
76	36	11.9	19.13	67.92
77	36	2.98	34.36	59.41
78	36	59.82	18.75	20.15
79	36	1.35	77.8	20.08
80	36	5.06	14.09	79.83
81	36	0.52	16.66	82.18
82	36	32.83	34.98	30.52
83	36	1.04	28.69	68.9
84	36	2.38	2.34	95.28
85	36	100	0	0
86	36	0	100	0
87	36	100	0	0
88	36	100	0	0
47	37	0	0	0
48	37	0	0	0
49	37	0	0	0
50	37	0	0	0
51	37	0	0	0
52	37	0	0	0
53	37	0	0	0
54	37	0	0	0
55	37	0.05	0	0
56	37	2.59	0	0
57	37	1.65	0	0
58	37	32.54	0	0
59	37	10.73	0.01	0
60	37	13.1	0	0
61	37	18.39	0.2	0
62	37	27.49	0.03	0
63	37	25.78	0.92	0
64	37	35.34	0.11	0
65	37	20.07	1.95	0
66	37	54.07	1.49	0.01
67	37	46.82	11.64	0.05
68	37	70.9	4.15	0.54
69	37	51.17	22.39	1.04
70	37	68.09	10.25	3.76
71	37	23.33	54.07	5.46
72	37	41.34	38.25	15.23
73	37	11.07	58.35	28.22
74	37	20.63	34.18	44.51
75	37	10.45	21.52	67.42
76	37	2.83	8.23	87.93
77	37	0.86	13.23	84.76
78	37	3.36	19.4	76.41
79	37	0.87	8.68	89.89
80	37	1.78	2.56	94.95
81	37	0.64	1.55	97.28
82	37	1.93	2.05	95.24
83	37	1.16	1.59	96.98
84	37	0.91	2.03	97.06
85	37	99.77	0	0
86	37	0	100	0
87	37	100	0	0
88	37	100	0	0
89	37	100	0	0
90	37	100	0	0
91	37	99.8	0	0
46	38	0	0	0
48	38	0	0	0
49	38	0	0	0
50	38	0	0	0
51	38	0	0	0
52	38	0	0	0
53	38	0	0	0
54	38	0	0	0
55	38	0	0	0
56	38	0	0	0
57	38	0	0	0
58	38	0	0	0
59	38	0	0	0
60	38	0.35	0	0
61	38	0.23	0	0
62	38	0.4	0	0
63	38	3.84	0	0
64	38	2.87	0	0
65	38	2.82	0	0
66	38	8.41	0	0
67	38	15.36	0.66	0
68	38	17.28	0.07	0
69	38	26	3.33	0
70	38	29.84	1.83	0
71	38	58.6	10.64	0.17
72	38	70.45	8.57	1.08
73	38	40.09	37.32	5.5
74	38	66.09	23.26	7.97
75	38	21.58	65.95	6.9
76	38	86.4	2.64	6.52
77	38	44.06	42.99	6.46
78	38	84.3	3.43	8.05
79	38	23.1	65.07	9.83
80	38	53.57	32.29	11.52
81	38	1.23	86.41	11.4
82	38	81.63	3.29	12.89
83	38	23.09	55.49	20.17
84	38	3.73	2.87	93.4
