N	Z	bn	b2n
66	57	1	1
65	58	1	1
64	59	0	0
80	44	1	1
79	45	1	1
78	46	1	1
77	47	2	2
76	48	2	2
75	49	2	2
74	50	2	2
73	51	2	2
72	52	2	2
71	53	2	2
70	54	2	2
69	55	2	2
68	56	1	1
67	57	1	1
66	58	1	1
65	59	0	0
64	60	0	0
80	45	1	1
79	46	1	1
78	47	2	2
77	48	2	2
76	49	2	2
75	50	2	2
74	51	2	2
73	52	2	2
72	53	2	2
71	54	2	2
70	55	2	2
69	56	2	1
68	57	1	1
67	58	1	1
66	59	1	0
65	60	0	0
81	45	1	1
80	46	1	1
79	47	1	1
78	48	2	2
77	49	2	2
76	50	2	2
75	51	2	2
74	52	2	2
73	53	2	2
72	54	2	2
71	55	2	2
70	56	2	2
69	57	1	1
68	58	1	1
67	59	1	1
66	60	0	0
65	61	0	0
81	46	1	1
80	47	1	1
79	48	2	2
78	49	2	2
77	50	2	2
76	51	2	2
75	52	2	2
74	53	2	2
73	54	2	2
72	55	2	2
71	56	2	2
70	57	2	1
69	58	1	1
68	59	1	1
67	60	1	0
66	61	0	0
82	46	1	1
81	47	1	1
80	48	2	2
79	49	2	2
78	50	2	2
77	51	2	2
76	52	2	2
75	53	2	2
74	54	2	2
73	55	2	2
72	56	2	2
71	57	2	2
70	58	1	1
69	59	1	1
68	60	1	1
67	61	0	0
66	62	0	0
82	47	1	1
81	48	1	1
80	49	2	2
79	50	2	2
78	51	2	2
77	52	2	2
76	53	2	2
75	54	2	2
74	55	2	2
73	56	2	2
72	57	2	2
71	58	2	1
70	59	1	1
69	60	1	1
68	61	1	0
67	62	0	0
83	47	1	1
82	48	1	2
81	49	2	2
80	50	2	2
79	51	2	2
78	52	2	2
77	53	2	2
76	54	2	2
75	55	2	2
74	56	2	2
73	57	2	2
72	58	2	2
71	59	1	1
70	60	1	1
69	61	1	1
68	62	0	0
67	63	0	0
83	48	1	1
82	49	2	2
81	50	2	2
80	51	2	2
79	52	2	2
78	53	2	2
77	54	2	2
76	55	2	2
75	56	2	2
74	57	2	2
73	58	2	2
72	59	2	1
71	60	1	1
70	61	1	1
69	62	1	0
68	63	0	0
84	48	1	1
83	49	2	2
82	50	2	2
81	51	2	2
80	52	2	2
79	53	2	2
78	54	2	2
77	55	2	2
76	56	2	2
75	57	2	2
74	58	2	2
73	59	2	2
72	60	1	1
71	61	1	1
70	62	1	1
69	63	0	0
85	48	1	1
84	49	1	1
83	50	2	2
82	51	2	2
81	52	2	2
80	53	2	2
79	54	2	2
78	55	2	2
77	56	2	2
76	57	2	2
75	58	2	2
74	59	2	2
73	60	1	1
72	61	1	1
71	62	1	1
70	63	0	0
69	64	0	0
85	49	1	1
84	50	2	2
83	51	2	2
82	52	2	2
81	53	2	2
80	54	2	2
79	55	2	2
78	56	2	2
77	57	2	2
76	58	2	2
75	59	2	2
74	60	2	1
73	61	1	1
72	62	1	1
71	63	1	0
70	64	0	0
86	49	1	1
85	50	2	2
84	51	2	2
83	52	2	2
82	53	2	2
81	54	2	2
80	55	2	2
79	56	2	2
78	57	2	2
77	58	2	2
76	59	2	2
75	60	2	2
74	61	1	1
73	62	1	1
72	63	1	1
71	64	0	0
70	65	0	0
86	50	1	1
85	51	2	2
84	52	2	2
83	53	2	2
82	54	2	2
81	55	2	2
80	56	2	2
79	57	2	2
78	58	2	2
77	59	2	2
76	60	2	2
75	61	2	1
74	62	1	1
73	63	1	1
72	64	1	0
71	65	0	0
87	50	1	1
86	51	2	2
85	52	2	2
84	53	2	2
83	54	2	2
82	55	2	2
81	56	2	2
80	57	2	2
79	58	2	2
78	59	2	2
77	60	2	2
76	61	2	2
75	62	1	1
74	63	1	1
73	64	1	1
72	65	0	0
88	50	1	1
87	51	1	1
86	52	2	2
